variant,verify
P-256,1493.5400253613016
P-256,1521.9097669398768
P-256,1481.450615230233
P-256,1510.740696902387
P-256,1478.289288471848
P-256,1506.6011787251903
P-256,1491.5126699885118
P-256,1450.449069556318
P-256,1501.1241864020622
P-256,1492.7119063056102
P-256,1519.0273885948811
P-256,1471.5676956536447
P-256,1516.123816775633
P-256,1501.7716328087063
P-256,1514.3087418820833
P-256,1311.003383348559
P-256,1494.1399299890902
P-256,1477.8204754899539
P-256,1508.342217182315
P-256,1479.8171328473616
P-256,1510.3474794134454
P-256,1483.2168652021599
P-256,1482.8511348294517
P-256,1500.9404049680156
P-256,1504.1855411617612
P-256,1476.4139648398923
P-256,1487.6376988768757
P-256,1500.3678463426845
P-256,1492.6427070844452
P-256,1452.5859856204902
P-256,1491.409331504732
P-256,1478.225045515417
P-256,1513.8636760071722
P-256,1521.2942602831376
P-256,1514.7566974414528
P-256,1498.984928503372
P-256,1525.3019284363193
P-256,1496.085753510994
P-256,1525.002329486171
P-256,1484.877508941743
P-256,1510.593543797104
P-256,1517.5114773104494
P-256,1513.308274494115
P-256,1501.5623117989749
P-256,1492.1962360838133
P-256,1469.4685420063552
P-256,1481.0724208821493
P-256,1507.268096664873
P-256,1507.4351003141717
P-256,1475.286086857493
P-256,1488.364655910094
P-256,1485.494553772646
P-256,1516.2436682037542
P-256,1496.544579548986
P-256,1495.4207353964896
P-256,1518.4970592829454
P-256,1497.000281941681
P-256,1515.984850824006
P-256,1487.6498169463819
P-256,1510.7966386450755
P-256,1493.0067609145642
P-256,1523.158677721559
P-256,1518.2836601982342
P-256,1493.148388374588
P-256,1509.1787890083974
P-256,1509.357859465211
P-256,1497.2217662201804
P-256,1503.9879627786565
P-256,1484.3585475346413
P-256,1515.4177102583521
P-256,1520.6613616253508
P-256,1496.2408432893073
P-256,1498.8792153387235
P-256,1501.228979005642
P-256,1506.072616153498
P-256,1497.248708656913
P-256,1487.6820559403654
P-256,1464.546669200659
P-256,1483.0235659728698
P-256,1460.1986644637766
P-256,1473.3375008739222
P-256,1492.3393042367836
P-256,1495.1401538786413
P-256,1474.666344463253
P-256,1468.2109158200863
P-256,1507.0042784655257
P-256,1394.3985915117019
P-256,1489.756956052982
P-256,1495.8505108686527
P-256,1482.321052874591
