variant,mean_verify,std_verify,mean_artifacts_size,std_artifacts_size
Dilithium2,46.140605076752394,0.7909335331360897,6463564.518712627,110404.71065205615
Dilithium3,72.4123263274908,1.2196185152093428,9077637.00779759,152502.69930969502
Dilithium5,112.00733904140691,1.9249975432188235,12434920.168002864,213657.0216231026
Falcon-1024,154.47675811514782,2.717710256975805,5302858.753520718,93258.99850982781
Falcon-512,82.58310108341918,1.5427911321583938,2685913.153671538,50150.47500362997
Falcon-padded-1024,153.53520093969394,2.815360700751019,5311543.8484753575,97358.67844524603
Falcon-padded-512,82.28286546720842,1.5003569857591923,2702440.6237886404,49279.16886656151
MAYO-2,42.177451262137446,0.7544071927636447,9809170.155297104,175521.12063443192
MAYO-3,146.69016143678354,2.681864773074318,5596713.6684896955,102414.81217236274
MAYO-5,292.9820247448846,5.362617731478568,10117795.75545957,185219.74832310164
ML-DSA-44,46.03787212636401,0.8601420023125863,6454122.058229496,120449.73178827735
ML-DSA-65,72.4410676330932,1.3286717732780793,9098872.727264535,166662.6844119568
ML-DSA-87,112.32795142289959,2.0631687935767773,12479074.81513897,229152.14640438234
P-256,137.4935493677261,2.7924278110559944,178141.39464742734,3623.388822093512
P-384,788.4505728377142,13.033768576931164,261465.7354696819,4321.488355159394
P-521,892.1361793544984,16.246191935868822,352163.5938447821,6414.5890394252065
SPHINCS+-SHA2-128f-simple,1054.4063748776402,19.30236120570882,29617950.118846923,542248.6632286255
SPHINCS+-SHA2-128s-simple,425.77339279573016,7.4254973460418645,13642255.958291203,237540.99758522215
SPHINCS+-SHA2-192f-simple,1491.598530474682,27.09739786902036,61805306.1454073,1122699.0495720026
SPHINCS+-SHA2-192s-simple,625.591416396069,11.899220988113033,28123480.106706455,534633.4095778678
SPHINCS+-SHA2-256f-simple,1528.6656221237886,27.853033598550027,86311480.42265782,1572920.1196022446
SPHINCS+-SHA2-256s-simple,864.8724734506426,15.148437606749457,51685492.37807592,904958.6051861136
SPHINCS+-SHAKE-128f-simple,1627.8960881265446,28.434627115282243,29624736.78512449,517837.77594548167
SPHINCS+-SHAKE-128s-simple,613.7540687112124,11.10526545982607,13654155.761047289,246988.6816018238
SPHINCS+-SHAKE-192f-simple,2323.343495008595,41.62212518384273,61790207.35573665,1106458.467660419
SPHINCS+-SHAKE-192s-simple,869.5243930799519,15.138033712002086,28141392.77602868,489786.4684064323
SPHINCS+-SHAKE-256f-simple,2329.9615333262786,41.655460131549624,86292565.98083748,1543523.0964046484
SPHINCS+-SHAKE-256s-simple,1222.9880316850372,21.702335739002347,51665193.66404321,917089.1119404671
cross-rsdp-128-balanced,785.2441694021495,13.963851372089252,22468891.74846908,399475.09943091765
cross-rsdp-128-fast,434.5954059469667,7.454333586442301,33238647.517978422,569630.524136261
cross-rsdp-128-small,2981.6794887662504,50.04958594503901,17589244.416911248,295111.45509679615
cross-rsdp-192-balanced,1750.593313412851,31.053306108599198,49006727.480941586,869165.7050872328
cross-rsdp-192-fast,973.0121927741693,17.12043665165063,73980535.88449147,1301807.6216253224
cross-rsdp-192-small,4163.938218052414,75.45462335741652,41070063.71204431,744201.8072109448
cross-rsdp-256-balanced,2898.521200553631,52.2389981002855,88523490.8547006,1595792.1832634662
cross-rsdp-256-fast,1720.9502537239343,32.65411417824815,132122815.71630016,2506751.0571716307
cross-rsdp-256-small,5552.351608954943,93.9124953307085,75680988.1230244,1280005.2348029632
cross-rsdpg-128-balanced,557.4563581793514,9.267838447415679,16072273.679454755,267258.15895147924
cross-rsdpg-128-fast,301.3456767456864,5.760088451734449,21638601.82062632,413964.69520150445
cross-rsdpg-128-small,1961.6441127113662,34.82111765829247,13857428.018762752,246019.36083027956
cross-rsdpg-192-balanced,800.2080034407533,14.40138808339789,40597302.29992922,730071.9042837716
cross-rsdpg-192-fast,688.5331843610163,11.666151946989235,47576369.94434699,806003.2395449221
cross-rsdpg-192-small,2920.2605990769116,47.67009367324245,31646939.15605641,516623.70735984185
cross-rsdpg-256-balanced,1393.6596296266518,25.336991784958787,69641205.89308348,1265914.4375439466
cross-rsdpg-256-fast,1167.8781875401812,21.74028323620164,84831207.65347187,1578640.2535197535
cross-rsdpg-256-small,3790.8165230575214,64.36570292464683,56863935.15350327,965145.9944770552
