variant,verify,artifacts_size
P-256,10.26783459163458,13313.718334606801
P-256,9.929042130352318,12872.056001419764
P-256,10.27550498670051,13306.712597135873
P-256,10.354789510473497,13421.158790989655
P-256,10.37808701745291,13441.515014567465
P-256,10.313449333863929,13391.236783784403
P-256,10.302698708662955,13363.109327022505
P-256,10.397337372113778,13436.094665305909
P-256,10.107396816237468,13111.023113546371
P-256,10.407063808009621,13507.809133484743
P-256,10.81020016488576,13950.477327380882
P-256,9.997319608310644,12923.024893560636
P-256,10.161861457295144,13170.537257011945
P-256,10.311478985445408,13357.892365070133
P-256,10.414874848861578,13494.534758462876
P-256,10.512524953925816,13650.043333785134
P-256,10.40853927626795,13501.020554691835
P-256,10.623952064024975,13783.041373128372
P-256,10.668289451868983,13824.352366711637
P-256,10.555516856755329,13665.924099322496
P-256,10.307960623453598,13327.535064097885
P-256,9.96290175701073,12915.755482839746
P-256,10.585583335778177,13699.034343786336
P-256,10.35466057303781,13428.384971239137
P-256,10.31386604578004,13426.64635556714
P-256,10.624915897847703,13751.499805544696
P-256,10.34450904911351,13381.182479730736
P-256,10.196552816341594,13222.637308700057
P-256,10.521826605827348,13618.712937318618
P-256,10.46252310376957,13533.610860871078
P-256,10.330499008207813,13389.791854878735
P-256,10.311955411676003,13391.518879340287
P-256,9.902180299580023,12835.058772101744
P-256,10.330652708129334,13385.005474566715
P-256,10.297274306239043,13334.332874465583
P-256,10.572218036082194,13695.293631351731
P-256,10.64434754682999,13800.774285528629
P-256,10.500670329336383,13590.318805505402
P-256,10.778077418076093,13970.74490145196
P-256,10.179753796773028,13197.746241329824
P-256,10.650993223637867,13803.157174755212
P-256,10.042925041351259,12986.749307085372
P-256,10.367448272647827,13447.287404790146
P-256,10.483197802209393,13557.105769647056
P-256,10.660437431343441,13795.22635388061
P-256,10.520625427105104,13639.517324629716
P-256,10.395918188746002,13474.326958346797
P-256,10.333237650169295,13380.808361423171
P-256,10.042394648999618,13050.036174507944
P-256,10.121061539134237,13120.663544369065
P-256,10.536458226914522,13672.092599702524
P-256,10.318347698190358,13357.821338201904
P-256,10.361904504593502,13420.110515154587
P-256,10.141581257097538,13156.182536308372
P-256,10.366874642579663,13435.519160654556
P-256,10.45097085475734,13548.17880559595
P-256,10.047902237730913,13062.379290907116
P-256,10.036389020451873,12989.840313182127
P-256,10.519706884425126,13620.95960856696
P-256,10.675448916859715,13845.609702980753
P-256,10.739574830453064,13880.438722493585
P-256,10.213395023514984,13249.229546527236
P-256,10.352931487887528,13442.347184472834
P-256,10.619874617831504,13751.591050600086
P-256,10.347427033016777,13391.464831366706
P-256,10.871048811645242,14084.47492376199
P-256,10.227529722355953,13259.869290004654
P-256,10.670966017901394,13824.311785993606
P-256,10.405157189129703,13502.28393388497
P-256,10.250749732098198,13281.520532938242
P-256,10.39211682495004,13430.224192004516
P-256,10.681588596585046,13828.64877420026
P-256,10.348868011887253,13431.264333473033
P-256,10.35642658927038,13425.814033315943
P-256,10.4955086233406,13575.650650602469
P-256,10.496890432286733,13584.847784800791
