variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify,mean_sigSize,std_sigSize,mean_privateKeySize,std_privateKeySize,mean_publicKeySize,std_publicKeySize
P-256,0.021943984796234873,0.0015103423676955093,0.047987155345617795,0.3672321429148534,0.07949251941026887,0.007418037350307698,70.9982,0.7106667747450082,32.0,0.0,32.0,0.0
P-384,0.14311229386803462,0.00938975596947586,0.2326121905556647,0.00801015391854638,0.45530019317375264,0.015903780320947674,102.986,0.7208716706852597,48.0,0.0,48.0,0.0
P-521,0.14752727409941144,0.007953378411760768,0.29332163244398546,0.010218254524332537,0.5154894196064561,0.01448158279677682,138.486,0.6203567395043149,65.0,0.0,65.0,0.0
ML-DSA-44,0.028136636143608486,0.00200729866121685,0.06819799659133423,0.036535164287725436,0.026620506795006806,0.0024672332930533105,2420.0,0.0,2560.0,0.0,1312.0,0.0
ML-DSA-65,0.04467310384934535,0.002690956950561831,0.10476814214343903,0.05692550006566519,0.04188583385839593,0.0028564803221617792,3309.0,0.0,4032.0,0.0,1952.0,0.0
ML-DSA-87,0.06854635873023654,0.004155542164556583,0.13099145822197897,0.05738487845661877,0.06498089227970923,0.004024878858098248,4627.0,0.0,4896.0,0.0,2592.0,0.0
Dilithium2,0.02805776373570552,0.002479111342637466,0.06773372610332444,0.03634014419331736,0.02664206807530718,0.0030818392360580102,2420.0,0.0,2528.0,0.0,1312.0,0.0
Dilithium3,0.04432189006911358,0.0023024322040455653,0.10412918753136183,0.056968629763314564,0.04183975429041311,0.0035882442417844293,3293.0,0.0,4000.0,0.0,1952.0,0.0
Dilithium5,0.06841234441089909,0.003714404402567185,0.1301985585174407,0.0568512212186174,0.06473680521303322,0.006208164868096691,4595.0,0.0,4864.0,0.0,2592.0,0.0
SPHINCS+-SHA2-128s-simple,19.174553736380766,0.24351345976709535,145.7420009695852,1.2497130342142926,0.2461840896809008,0.014275969711186305,7856.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHA2-192s-simple,28.47050938884786,0.3779572127302775,273.2433443559319,2.098372185141682,0.36195931359252426,0.013574719277855687,16224.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHA2-256s-simple,18.97440457699122,0.2655172989559536,248.25443056007936,1.9590243379853398,0.49958978654904057,0.021616471795481408,29792.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHA2-128f-simple,0.3094665763535886,0.019099873258687245,7.113697285833768,0.10417435805261871,0.6094754949765047,0.022247414963852713,17088.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHA2-192f-simple,0.4563753215610632,0.013782240991543118,12.209965537276002,0.17726925255876927,0.8618630256794859,0.023181680583977893,35664.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHA2-256f-simple,1.2134007686021504,0.027908144791315023,25.165164971572814,0.33207838027155273,0.8841401360405143,0.02807147287366736,49856.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHAKE-128s-simple,36.281656343204666,0.4452009424306001,275.7551593523836,2.1082674749593795,0.3545657738199225,0.016185845555014112,7856.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHAKE-192s-simple,53.16931344224868,0.6106347916074405,477.9261598472178,2.648660397130645,0.5027798368013464,0.016148436112736808,16224.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHAKE-256s-simple,34.53233369618247,0.4241377825495557,411.84646973444325,2.530793616407206,0.7067356299608946,0.026377947764253645,29792.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHAKE-128f-simple,0.5743620426481357,0.018597465864318964,13.3318520824163,0.19552300373886047,0.9407481317990459,0.02800147794433398,17088.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHAKE-192f-simple,0.8390089946362422,0.024918780116662875,21.554002718506673,0.29061329412273307,1.3427961226567278,0.03592719055845306,35664.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHAKE-256f-simple,2.1655702844655025,0.040102214206973845,43.49506864918658,0.5263897636812929,1.3478722832427592,0.036072777463040724,49856.0,0.0,128.0,0.0,64.0,0.0
Falcon-512,6.063584858331888,1.500252897934761,0.2264438918165979,0.010134356125959462,0.04771979840443237,0.003700875620399519,655.0208,2.1704466000904987,1281.0,0.0,897.0,0.0
Falcon-1024,17.945388164832547,4.398313228676072,0.4409992347020307,0.01914077587758134,0.08925003933545668,0.005314890973404692,1270.6868,3.1397916474121175,2305.0,0.0,1793.0,0.0
Falcon-padded-512,5.9927004412151295,1.447418093871444,0.22800576458539581,0.013186367791757395,0.04758974725409644,0.0029614727157805092,666.0,0.0,1281.0,0.0,897.0,0.0
Falcon-padded-1024,17.908771395836084,4.324366603701047,0.4450788452289999,0.01717395040962275,0.08882764605805278,0.004806042948380608,1280.0,0.0,2305.0,0.0,1793.0,0.0
MAYO-2,0.038752543422742744,0.002351434518012534,0.08278609382978175,0.008372887255219185,0.02437171187484637,0.0020412760354410102,180.0,0.0,24.0,0.0,5488.0,0.0
MAYO-3,0.07288166722428287,0.0038209533538767068,0.2306485705295927,0.011996625648892485,0.08473631197266514,0.004419263253623165,577.0,0.0,32.0,0.0,2656.0,0.0
MAYO-5,0.15936775892041624,0.008305249048616124,0.44907043877174146,0.014610305230097676,0.1692833048524335,0.005836288729461917,838.0,0.0,40.0,0.0,5008.0,0.0
cross-rsdp-128-small,0.020201440411619843,0.005320407971341986,2.4136600042620557,0.0440760574883828,1.7217851337001775,0.03229745850760893,10080.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-small,0.045130736514693126,0.0027174178605550744,3.423509518659557,0.05854138010557146,2.4086308724436094,0.0420466752260577,23642.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-small,0.06154407493158942,0.0036990855013795706,4.658414736439591,0.08119933254501038,3.209365076085669,0.05625855457454349,43592.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-small,0.013381784256489481,0.0013966051237492994,1.6817010719649261,0.03379584920278202,1.1338883576652734,0.022749636629726237,7956.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-small,0.020450166925729717,0.0015928973809527939,2.6689755960731416,0.051458757837953964,1.6859805385160143,0.038829300213912184,18188.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-small,0.03325315087131457,0.005689879512419359,3.535996973158035,0.06177956267175578,2.1897855254268506,0.044792092796456746,32742.0,0.0,64.0,0.0,106.0,0.0
cross-rsdp-128-balanced,0.019712830970820504,0.0013733188324471658,0.6640059964891407,0.019275437084236496,0.45393975758488525,0.012610345654768856,12912.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-balanced,0.04296381478488911,0.002454612110088124,1.505825446874951,0.03149785659585587,1.0122389349286096,0.027403190718336065,28222.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-balanced,0.06151727412507171,0.0034456671766759928,2.53699104172847,0.05320202648220037,1.6767324917353108,0.03552368301584805,51056.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-balanced,0.01284544836380519,0.001168034004834838,0.5033866116311401,0.014546279178584233,0.32222038082545623,0.012341885326752532,9236.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-balanced,0.020162985884235242,0.0015232978346736681,0.7465640593582066,0.023922989374800446,0.46247457698191285,0.016970917724709877,23380.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-balanced,0.03297899948374834,0.0019717414924477557,1.24053163540666,0.031176745917787317,0.8052821093951934,0.019557914517706092,40134.0,0.0,64.0,0.0,106.0,0.0
cross-rsdp-128-fast,0.019473482902685645,0.0013080700152994233,0.407568003628694,0.016614838611351324,0.2514188165863743,0.007430690695428343,19152.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-fast,0.03676265643589431,0.002208696136207899,0.8855866318248445,0.0244279369253071,0.5628772184820263,0.021827306025161124,42682.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-fast,0.050525037995248566,0.002876039892203436,1.5770944826450433,0.03467121338553666,0.9957978939171881,0.021253263599131263,76298.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-fast,0.01297345694329124,0.0010310764047204918,0.2807420338693191,0.009687015407914402,0.17443927374406484,0.007422773056069102,12472.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-fast,0.021066115323628766,0.0015804183485574274,0.6518986013514223,0.016897922372360253,0.3977995967361494,0.012853145642993861,27404.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-fast,0.033023043934372255,0.0023172785278282263,1.0280316878735902,0.021093642691446934,0.6751894451648696,0.01915069539215024,48938.0,0.0,64.0,0.0,106.0,0.0
