variant,verify,artifacts_size
P-256,138.3287313912772,123532.32664807596
P-256,138.00128976705793,123273.67927124214
P-256,137.87063305634805,123117.23828396207
P-256,136.24153523460024,121688.19153884487
P-256,139.91373123927042,124899.81287586463
P-256,134.58321495022412,120239.79597216302
P-256,138.49350201967394,123533.83436992794
P-256,130.03987463930633,116206.78975465926
P-256,139.05614650986166,124312.61706653661
P-256,140.44225405379106,125478.24332232862
P-256,137.2718915745301,122645.19711201356
P-256,138.45901106841728,123608.26225856617
P-256,135.62625968329232,121142.67241797234
P-256,135.32461392026303,120825.12183889304
P-256,137.75237286989082,122959.67181134134
P-256,138.11263398880908,123286.19123747083
P-256,139.0209969024933,124164.32167798911
P-256,135.65648736594903,121160.43495499346
P-256,135.0852397342659,120651.17363819575
P-256,137.07893432426334,122245.92315515647
P-256,133.41966767244267,119115.64567403642
P-256,134.04990686372406,119553.38308228484
P-256,138.32632768220185,123512.70071546378
P-256,140.37826949854397,125370.33244697696
P-256,139.07476112662505,124270.55518021053
P-256,136.26189053155213,121782.64039755487
P-256,136.89552572456213,122299.82803183766
P-256,139.48988798246168,124618.08249258721
P-256,141.0925076432281,126037.99313460436
P-256,139.39904226465927,124467.69991604915
P-256,139.8885935316497,124905.04030017047
P-256,139.83008160534018,124909.26648483952
P-256,139.32092113532576,124425.18211531539
P-256,138.13982092896458,123312.25678920436
P-256,138.91426655336036,123997.1391908375
P-256,134.44572574488217,120148.67421995579
P-256,141.91654773190885,126723.43779566322
P-256,134.23434775838362,119777.80438217519
P-256,133.92837718486467,119498.51764426316
P-256,135.67885160333879,121105.060018465
P-256,138.6813835620744,123858.76647128834
P-256,138.60058558649862,123681.73453575934
P-256,138.386327222273,123714.21278128357
P-256,136.6196695722344,121989.3039793175
P-256,140.7627768469636,125705.9868142983
P-256,140.9851638855156,125874.40668261182
P-256,138.09358059966766,123273.432926526
P-256,137.1755924598658,122458.58504627961
P-256,138.2784541467905,123515.92289605974
P-256,134.4147640399806,120022.2798659003
P-256,135.69415266802753,121117.1245048756
P-256,138.62821917162037,123820.22072438689
P-256,137.87377161852885,123146.17203588036
P-256,139.2300844480874,124333.60481357528
P-256,138.29779356343744,123473.31774920339
P-256,131.7456084677358,117716.11287399936
P-256,135.9096986353113,121272.38981109193
P-256,134.33927611163392,120060.77627832085
P-256,134.88216969147103,120505.39338506426
P-256,137.50198035662567,122817.3443350996
P-256,139.12333510914917,124303.58452134159
P-256,135.49424554598394,121055.25105448341
P-256,139.50381803606098,124506.27665600817
P-256,136.44693577068813,121932.44696181634
P-256,138.39198187723474,123616.96892253042
P-256,137.16320739225216,122428.63914861807
P-256,140.20109060944955,125241.64200905625
P-256,138.587154814336,123727.83276143059
P-256,136.73192989379217,122153.35716155983
P-256,135.8366126816463,121445.18306546597
P-256,138.69079197300897,123929.80159202089
P-256,135.4891597590876,121099.398859886
P-256,135.9461359393011,121490.05629220646
P-256,136.64612310963693,122077.77268803713
P-256,138.43407308482938,123615.20671786042
P-256,139.6023183020139,124596.51132693575
P-256,137.70701819504808,122979.31757714364
P-256,136.01484362724972,121495.92811065429
P-256,138.5558470704172,123654.2685935043
P-256,141.40579591644084,126229.52752097162
P-256,139.4738338846423,124563.82600810565
P-256,138.88148852497667,124081.81927880822
P-256,134.8775113851729,120418.81061069506
P-256,140.62346305580692,125606.29528769373
P-256,140.06730624844528,124967.13555711957
P-256,137.51872928535366,122835.35868167692
P-256,137.35822411491475,122650.15387246126
