variant,mean_verify,std_verify,mean_artifacts_size,std_artifacts_size
Dilithium2,46.10902703983467,0.7679459614442814,4188235.3237214135,69667.30779126857
Dilithium3,72.36546183045458,1.23174588451585,5695382.350358797,96918.83235973977
Dilithium5,112.03141436617027,2.239017883403563,7952018.931483029,158759.0654625041
Falcon-1024,154.50363958577265,2.699490947209626,2199731.42237876,38427.65819528236
Falcon-512,82.5089886861242,1.444523537038279,1132566.0130904652,19843.56537694476
Falcon-padded-1024,153.6510011323263,2.6964034317188053,2214072.176895202,38864.87788464196
Falcon-padded-512,82.32037296017714,1.4208818338241405,1152017.790447423,19899.25680446881
MAYO-2,42.20289424132827,0.6994505243808654,311703.12477726524,5167.080514843669
MAYO-3,146.60022839773126,2.6601867824227057,998247.6475354945,18110.126560001718
MAYO-5,292.7602541486055,5.249903514082143,1449259.292106755,25985.902527884624
ML-DSA-44,46.00863009408439,0.86963881402499,4182602.3472575517,78962.05750204007
ML-DSA-65,72.48038661516638,1.2271543975739012,5726073.01136695,96894.0945713227
ML-DSA-87,112.41914193465382,1.8900707087945914,8004787.810929322,134465.08254495764
P-256,137.69158618171733,2.3955346832193736,122978.50988136871,2139.4677712612565
P-384,788.0999812804944,13.531224768654758,178265.01131962796,3060.2356682897876
P-521,891.8078198581737,15.240092473909591,239584.6429416376,4095.904595972579
SPHINCS+-SHA2-128f-simple,1053.8793223192802,18.15194039013244,29547552.254950635,508814.4460883856
SPHINCS+-SHA2-128s-simple,426.4499006769076,7.124541407218599,13608580.351303628,227184.23046274067
SPHINCS+-SHA2-192f-simple,1490.3589361195557,26.50218253051213,61671009.31863145,1096612.8412230543
SPHINCS+-SHA2-192s-simple,626.0795310272161,11.06426180628697,28062583.20214093,495817.8207520703
SPHINCS+-SHA2-256f-simple,1529.2315160014844,27.94788008061098,86231805.38864686,1576221.232668129
SPHINCS+-SHA2-256s-simple,864.3935987701572,14.303413245165709,51546412.60556586,852449.4383151217
SPHINCS+-SHAKE-128f-simple,1628.6712530484479,28.440755880426376,29583856.368408334,516183.9655039395
SPHINCS+-SHAKE-128s-simple,613.5617332427842,10.782268093740132,13594695.539322902,239017.8605483915
SPHINCS+-SHAKE-192f-simple,2321.5119388081,44.95813373902671,61658837.08570201,1193951.5346260096
SPHINCS+-SHAKE-192s-simple,869.8110077773057,16.021908538296785,28067515.447357405,517294.7572805876
SPHINCS+-SHAKE-256f-simple,2332.1598563959,39.88602830576503,86263156.32101193,1475416.0379045433
SPHINCS+-SHAKE-256s-simple,1222.512277063706,21.21966461626307,51534583.72430473,894561.6237426671
cross-rsdp-128-balanced,784.9441556292861,14.409430476264516,22327245.995067857,409935.2499176972
cross-rsdp-128-fast,435.0733422782426,7.488738528377056,33141603.40556224,570535.0243791922
cross-rsdp-128-small,2976.603650794485,55.58472127309639,17426132.867377512,325432.1713634033
cross-rsdp-192-balanced,1751.1197091523904,30.908099278667265,48822332.333476625,861771.5361357286
cross-rsdp-192-fast,972.9047674400714,17.650988459142596,73774462.66834286,1337020.0085513438
cross-rsdp-192-small,4167.768899808347,81.50248142774157,40909023.72882745,800016.3703137181
cross-rsdp-256-balanced,2903.1816520855245,48.881756186619086,88401530.32469991,1488355.3353787835
cross-rsdp-256-fast,1724.0526098634743,30.967379571878777,132097129.72028185,2373117.239915222
cross-rsdp-256-small,5550.663776322641,102.20278272789919,75393246.19534028,1388113.099817663
cross-rsdpg-128-balanced,557.3986700888362,10.074831300928315,15976861.595332077,288770.880431658
cross-rsdpg-128-fast,302.08250678766825,5.07985405061089,21598213.588983025,362818.1445495062
cross-rsdpg-128-small,1962.1365991091752,33.219699881849415,13767467.913187478,233119.89953390355
cross-rsdpg-192-balanced,799.2775098882901,14.774685687288676,40406554.06409707,746705.0519480326
cross-rsdpg-192-fast,688.3634991943825,11.926961487368372,47420583.05287553,821721.315660764
cross-rsdpg-192-small,2917.8147361604942,50.41993368818412,31476868.161197167,544020.2682490972
cross-rsdpg-256-balanced,1392.5840419702943,24.24977639993668,69404170.12083232,1208889.2474030154
cross-rsdpg-256-fast,1167.5797672821504,20.955310997117266,84626623.33403522,1519109.5931146438
cross-rsdpg-256-small,3790.231406464185,62.74242689653277,56671813.943774,938297.0501124962
