variant,mean_keypair,std_keypair,mean_sign,std_sign,mean_verify,std_verify,mean_sigSize,std_sigSize,mean_privateKeySize,std_privateKeySize,mean_publicKeySize,std_publicKeySize
P-256,0.0219439847962348,0.0015103423676955,0.0479871553456177,0.3672321429148534,0.0794925194102688,0.0074180373503076,70.9982,0.7106667747450082,32.0,0.0,32.0,0.0
P-384,0.1431122938680346,0.0093897559694758,0.2326121905556647,0.0080101539185463,0.4553001931737526,0.0159037803209476,102.986,0.7208716706852597,48.0,0.0,48.0,0.0
P-521,0.1475272740994114,0.0079533784117607,0.2933216324439854,0.0102182545243325,0.5154894196064561,0.0144815827967768,138.486,0.6203567395043149,65.0,0.0,65.0,0.0
ML-DSA-44,0.0281366361436084,0.0020072986612168,0.0681979965913342,0.0365351642877254,0.0266205067950068,0.0024672332930533,2420.0,0.0,2560.0,0.0,1312.0,0.0
ML-DSA-65,0.0446731038493453,0.0026909569505618,0.104768142143439,0.0569255000656651,0.0418858338583959,0.0028564803221617,3309.0,0.0,4032.0,0.0,1952.0,0.0
ML-DSA-87,0.0685463587302365,0.0041555421645565,0.1309914582219789,0.0573848784566187,0.0649808922797092,0.0040248788580982,4627.0,0.0,4896.0,0.0,2592.0,0.0
Dilithium2,0.0280577637357055,0.0024791113426374,0.0677337261033244,0.0363401441933173,0.0266420680753071,0.003081839236058,2420.0,0.0,2528.0,0.0,1312.0,0.0
Dilithium3,0.0443218900691135,0.0023024322040455,0.1041291875313618,0.0569686297633145,0.0418397542904131,0.0035882442417844,3293.0,0.0,4000.0,0.0,1952.0,0.0
Dilithium5,0.068412344410899,0.0037144044025671,0.1301985585174407,0.0568512212186174,0.0647368052130332,0.0062081648680966,4595.0,0.0,4864.0,0.0,2592.0,0.0
SPHINCS+-SHA2-128s-simple,19.17455373638077,0.2435134597670953,145.7420009695852,1.2497130342142926,0.2461840896809008,0.0142759697111863,7856.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHA2-192s-simple,28.47050938884786,0.3779572127302775,273.2433443559319,2.098372185141682,0.3619593135925242,0.0135747192778556,16224.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHA2-256s-simple,18.97440457699122,0.2655172989559536,248.25443056007936,1.95902433798534,0.4995897865490405,0.0216164717954814,29792.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHA2-128f-simple,0.3094665763535886,0.0190998732586872,7.113697285833768,0.1041743580526187,0.6094754949765047,0.0222474149638527,17088.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHA2-192f-simple,0.4563753215610632,0.0137822409915431,12.209965537276002,0.1772692525587692,0.8618630256794859,0.0231816805839778,35664.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHA2-256f-simple,1.2134007686021504,0.027908144791315,25.16516497157281,0.3320783802715527,0.8841401360405143,0.0280714728736673,49856.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHAKE-128s-simple,36.281656343204666,0.4452009424306001,275.7551593523836,2.1082674749593795,0.3545657738199225,0.0161858455550141,7856.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHAKE-192s-simple,53.16931344224868,0.6106347916074405,477.9261598472178,2.648660397130645,0.5027798368013464,0.0161484361127368,16224.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHAKE-256s-simple,34.53233369618247,0.4241377825495557,411.8464697344433,2.530793616407206,0.7067356299608946,0.0263779477642536,29792.0,0.0,128.0,0.0,64.0,0.0
SPHINCS+-SHAKE-128f-simple,0.5743620426481357,0.0185974658643189,13.3318520824163,0.1955230037388604,0.940748131799046,0.0280014779443339,17088.0,0.0,64.0,0.0,32.0,0.0
SPHINCS+-SHAKE-192f-simple,0.8390089946362422,0.0249187801166628,21.554002718506677,0.290613294122733,1.3427961226567278,0.035927190558453,35664.0,0.0,96.0,0.0,48.0,0.0
SPHINCS+-SHAKE-256f-simple,2.1655702844655025,0.0401022142069738,43.49506864918658,0.5263897636812929,1.3478722832427592,0.0360727774630407,49856.0,0.0,128.0,0.0,64.0,0.0
Falcon-512,6.063584858331888,1.500252897934761,0.2264438918165979,0.0101343561259594,0.0477197984044323,0.0037008756203995,655.0208,2.1704466000904987,1281.0,0.0,897.0,0.0
Falcon-1024,17.945388164832547,4.398313228676072,0.4409992347020307,0.0191407758775813,0.0892500393354566,0.0053148909734046,1270.6868,3.139791647412117,2305.0,0.0,1793.0,0.0
Falcon-padded-512,5.9927004412151295,1.447418093871444,0.2280057645853958,0.0131863677917573,0.0475897472540964,0.0029614727157805,666.0,0.0,1281.0,0.0,897.0,0.0
Falcon-padded-1024,17.908771395836084,4.324366603701047,0.4450788452289999,0.0171739504096227,0.0888276460580527,0.0048060429483806,1280.0,0.0,2305.0,0.0,1793.0,0.0
MAYO-2,0.0387525434227427,0.0023514345180125,0.0827860938297817,0.0083728872552191,0.0243717118748463,0.002041276035441,180.0,0.0,24.0,0.0,5488.0,0.0
MAYO-3,0.0728816672242828,0.0038209533538767,0.2306485705295927,0.0119966256488924,0.0847363119726651,0.0044192632536231,577.0,0.0,32.0,0.0,2656.0,0.0
MAYO-5,0.1593677589204162,0.0083052490486161,0.4490704387717414,0.0146103052300976,0.1692833048524335,0.0058362887294619,838.0,0.0,40.0,0.0,5008.0,0.0
cross-rsdp-128-small,0.0202014404116198,0.0053204079713419,2.413660004262056,0.0440760574883828,1.7217851337001775,0.0322974585076089,10080.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-small,0.0451307365146931,0.002717417860555,3.423509518659557,0.0585413801055714,2.4086308724436094,0.0420466752260577,23642.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-small,0.0615440749315894,0.0036990855013795,4.658414736439591,0.0811993325450103,3.209365076085669,0.0562585545745434,43592.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-small,0.0133817842564894,0.0013966051237492,1.681701071964926,0.033795849202782,1.1338883576652734,0.0227496366297262,7956.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-small,0.0204501669257297,0.0015928973809527,2.6689755960731416,0.0514587578379539,1.6859805385160145,0.0388293002139121,18188.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-small,0.0332531508713145,0.0056898795124193,3.535996973158035,0.0617795626717557,2.1897855254268506,0.0447920927964567,32742.0,0.0,64.0,0.0,106.0,0.0
cross-rsdp-128-balanced,0.0197128309708205,0.0013733188324471,0.6640059964891407,0.0192754370842364,0.4539397575848852,0.0126103456547688,12912.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-balanced,0.0429638147848891,0.0024546121100881,1.505825446874951,0.0314978565958558,1.0122389349286096,0.027403190718336,28222.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-balanced,0.0615172741250717,0.0034456671766759,2.53699104172847,0.0532020264822003,1.6767324917353108,0.035523683015848,51056.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-balanced,0.0128454483638051,0.0011680340048348,0.5033866116311401,0.0145462791785842,0.3222203808254562,0.0123418853267525,9236.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-balanced,0.0201629858842352,0.0015232978346736,0.7465640593582066,0.0239229893748004,0.4624745769819128,0.0169709177247098,23380.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-balanced,0.0329789994837483,0.0019717414924477,1.24053163540666,0.0311767459177873,0.8052821093951934,0.019557914517706,40134.0,0.0,64.0,0.0,106.0,0.0
cross-rsdp-128-fast,0.0194734829026856,0.0013080700152994,0.407568003628694,0.0166148386113513,0.2514188165863743,0.0074306906954283,19152.0,0.0,32.0,0.0,77.0,0.0
cross-rsdp-192-fast,0.0367626564358943,0.0022086961362078,0.8855866318248445,0.0244279369253071,0.5628772184820263,0.0218273060251611,42682.0,0.0,48.0,0.0,115.0,0.0
cross-rsdp-256-fast,0.0505250379952485,0.0028760398922034,1.5770944826450433,0.0346712133855366,0.995797893917188,0.0212532635991312,76298.0,0.0,64.0,0.0,153.0,0.0
cross-rsdpg-128-fast,0.0129734569432912,0.0010310764047204,0.2807420338693191,0.0096870154079144,0.1744392737440648,0.0074227730560691,12472.0,0.0,32.0,0.0,54.0,0.0
cross-rsdpg-192-fast,0.0210661153236287,0.0015804183485574,0.6518986013514223,0.0168979223723602,0.3977995967361494,0.0128531456429938,27404.0,0.0,48.0,0.0,83.0,0.0
cross-rsdpg-256-fast,0.0330230439343722,0.0023172785278282,1.0280316878735902,0.0210936426914469,0.6751894451648696,0.0191506953921502,48938.0,0.0,64.0,0.0,106.0,0.0
