variant,verify
P-256,114.10732201611359
P-256,117.66587431042444
P-256,119.51186291050206
P-256,120.90956568984498
P-256,121.0377720505105
P-256,118.55478236523993
P-256,120.89160508851923
P-256,121.02842994960372
P-256,117.67956739141174
P-256,115.91113200972079
P-256,119.99808959957035
P-256,118.17943047860417
P-256,118.30967428084799
P-256,112.60409987311718
P-256,114.65276877113129
P-256,119.79840304352265
P-256,119.19200901854902
P-256,116.25254948850647
P-256,117.68826572256563
P-256,117.02501328627697
P-256,121.13389909408845
P-256,118.00493881795593
P-256,118.5032426330085
P-256,116.15797226991243
P-256,116.00383199573058
P-256,121.17375177991454
P-256,120.67105497673978
P-256,115.3959035979182
P-256,120.24323508604932
P-256,119.34048885037353
P-256,114.82628023415054
P-256,119.9495569987673
P-256,120.80009069723368
P-256,118.12004090369119
P-256,120.20310766751788
P-256,119.84755586083445
P-256,117.64381024640205
P-256,118.32402590115332
P-256,121.97915202122608
P-256,120.43266644524385
P-256,118.64988093137633
P-256,120.15510887601936
P-256,119.57956853797256
P-256,115.31058064458635
P-256,118.85392457485499
P-256,119.98286413138104
P-256,120.47063104459349
P-256,119.99229726887397
P-256,119.42295558648546
P-256,121.27932779307581
P-256,118.32740881164071
P-256,119.2056624639553
P-256,119.17731448848866
P-256,119.45887426223219
P-256,119.46307012467358
P-256,118.55066207368432
P-256,121.11130189553089
P-256,118.3657016152009
P-256,120.62436657842073
P-256,118.4464730811498
P-256,118.78786454817653
P-256,119.22515270186913
P-256,117.05340497906197
P-256,120.70853992768123
P-256,120.20410653334895
P-256,115.91580136717198
P-256,121.09209609643148
P-256,118.34668253527975
P-256,119.49047776303246
P-256,121.58162465583233
P-256,117.41225306009893
P-256,120.70556691060763
P-256,116.70861341595734
P-256,114.39107219061071
P-256,119.440069302184
P-256,119.64445851883673
P-256,118.69435464685382
P-256,117.70752260478568
P-256,119.68341148173548
P-256,120.25833575962592
P-256,118.09829843130264
P-256,117.86290904044323
P-256,117.09647814894798
P-256,119.30121988764725
P-256,113.32594601886497
P-256,119.01154378496025
P-256,122.2843880755453
P-256,116.68559441465077
P-256,118.69363642363105
P-256,117.73047233659047
P-256,116.40787805752684
