variant,verify
P-256,133.6624981984758
P-256,137.13211573287623
P-256,134.58488511549405
P-256,136.59497798689404
P-256,136.68787000102344
P-256,136.1790666792764
P-256,134.86394642539824
P-256,135.42091033334623
P-256,137.67441504004813
P-256,138.73686683827495
P-256,138.87588286635503
P-256,136.62356081702578
P-256,133.24847012042204
P-256,135.04857118602655
P-256,136.0380367534408
P-256,138.8155783984564
P-256,133.0952398504239
P-256,136.95360937522352
P-256,136.20431220100735
P-256,138.16843530422435
P-256,133.97166166633536
P-256,135.37995386211992
P-256,136.87819966463164
P-256,137.48770082007948
P-256,137.84353830384663
P-256,134.3068551932648
P-256,132.18855598810998
P-256,134.90232840342125
P-256,136.14271608768732
P-256,135.91471275902563
P-256,135.1330062855265
P-256,132.39910771881293
P-256,132.7819231326352
P-256,138.30183351033418
P-256,134.60131521302628
P-256,136.02939141612336
P-256,139.73042178654367
P-256,138.5440121639824
P-256,139.2474150555606
P-256,136.30873073448186
P-256,136.3549167657162
P-256,134.37786331321746
P-256,135.5205932425524
P-256,136.54801436584177
P-256,137.75972170600403
P-256,139.0995777517048
P-256,134.98079896868938
P-256,135.9254819398283
P-256,139.3728816620476
P-256,138.02199882185192
P-256,138.09091245337981
P-256,135.9734746025922
P-256,137.34494797731253
P-256,136.83973487437683
P-256,138.7136358368895
P-256,137.44339221875978
P-256,138.24073429685293
P-256,136.4783023566953
P-256,139.27017646250033
P-256,137.4350783264685
P-256,137.77572999532387
P-256,134.33529307660137
P-256,137.07165755317655
P-256,132.41307684090472
P-256,129.5424227837521
P-256,136.2001668146996
P-256,136.66653933961297
P-256,138.17614372058378
P-256,132.86190776774424
P-256,136.2767224895129
P-256,132.59947456310292
P-256,139.1063331673624
P-256,136.977534224725
P-256,135.11478716730855
P-256,134.7900000286493
P-256,137.27912888103225
P-256,136.35339712408003
P-256,136.16507056902284
P-256,137.88306402681866
P-256,137.49484065473195
P-256,135.57898067835987
P-256,132.9233086723738
P-256,135.6839857997566
P-256,136.2291482239203
P-256,135.00842275384446
P-256,138.65378769725055
P-256,135.33712256774987
P-256,135.645218492965
P-256,134.88297669523797
P-256,134.97753877125163
P-256,136.59530565772553
P-256,138.6927040709895
P-256,136.6109675349921
P-256,140.10705444142843
P-256,139.87346592745862
P-256,137.5340511207672
P-256,136.68085610239854
P-256,137.12451135696733
P-256,138.43720633521733
P-256,139.1704193001377
P-256,139.45037364307902
P-256,134.5559843628449
P-256,131.50548524102913
P-256,133.95472157120736
P-256,136.70548484230267
P-256,139.310948066195
P-256,137.4328742036463
P-256,138.9257411401732
P-256,133.94379420668932
P-256,133.75712939639118
P-256,135.85121566510534
P-256,135.07449973173934
P-256,136.6484365778317
P-256,134.27695990198296
P-256,137.83433737042932
P-256,138.95306216414406
P-256,135.46679678190657
P-256,135.694175791856
P-256,134.62607673341537
P-256,136.81396041185744
P-256,137.1473065638322
P-256,138.93388498241507
P-256,135.15235605661974
P-256,137.91116265822606
P-256,135.21184794648
P-256,132.69553824518377
P-256,139.14644254433412
P-256,137.92980900349653
P-256,139.19637283896407
P-256,137.2089385375722
P-256,134.76710502059973
P-256,138.30802696582143
P-256,137.05124884174933
P-256,135.22655668879872
P-256,137.9209082628733
P-256,138.33960156375923
P-256,132.52609095619064
P-256,138.8350959313749
P-256,137.8881353205173
P-256,133.57042583420392
P-256,135.46020937335157
P-256,137.30106304295768
P-256,135.798847040601
P-256,135.63250281164568
P-256,136.4725759141337
P-256,138.86317556675633
P-256,139.8315301630007
P-256,129.97632517111268
P-256,135.10424607688347
P-256,130.39875415955146
P-256,139.6331621920404
P-256,132.72690735201226
P-256,137.32949018443992
P-256,138.342406125708
P-256,137.92809297268343
P-256,139.33180173470788
P-256,137.5787925345927
P-256,134.37075951549105
P-256,135.1309096158446
P-256,138.41975241823545
P-256,135.38565776828491
P-256,137.59744727667731
P-256,139.12583886366912
P-256,138.15244317946508
P-256,135.20951846648236
P-256,136.86342406983698
P-256,134.46171586036317
P-256,138.61998657394963
P-256,139.96525726502392
P-256,135.0778230717089
P-256,135.4165750000237
P-256,137.75769149975102
P-256,136.70687758376422
P-256,135.94746349516203
P-256,137.2897429333226
P-256,135.94724856195984
P-256,134.0750162994682
P-256,131.2283620477123
P-256,136.67950589405422
P-256,138.920284637714
P-256,137.6172670105887
P-256,136.09083593711904
P-256,136.87448818525732
P-256,133.05759831885752
P-256,137.78396872048404
P-256,137.75844032328715
P-256,137.9357859440896
P-256,137.1370406638914
P-256,139.53750568749996
P-256,138.9269700896277
P-256,135.0506728225222
P-256,138.6964955813379
P-256,134.71543901904175
P-256,134.1657576102313
P-256,133.81266726776894
P-256,139.05619076196214
P-256,138.45745270938625
P-256,136.81002729730415
P-256,137.6131570237162
P-256,137.00644720897074
P-256,139.101093843116
P-256,137.8198000833648
P-256,135.2415411325804
P-256,135.2499856173568
P-256,136.2443398512451
P-256,137.26727351386978
P-256,139.24663069411912
P-256,137.82364440930826
P-256,138.10095978065613
P-256,136.54968519281107
P-256,131.84443919959392
P-256,134.18701374679745
P-256,135.29080958916492
P-256,138.63819814910045
P-256,136.8882106997998
P-256,133.57945838176718
P-256,140.4252990062718
P-256,134.95814981591616
P-256,137.36152689578944
P-256,135.74628985683833
P-256,138.86490070453075
P-256,136.30725278966457
P-256,139.2448217542813
P-256,137.979483096431
P-256,137.39871874176146
P-256,138.02116596465478
P-256,138.88706408113612
P-256,138.71336314058783
P-256,138.54115518103703
P-256,138.2804185487356
P-256,137.45181502787742
P-256,134.35213627005604
P-256,138.17666793385416
P-256,133.62776591270077
P-256,135.79268443746201
P-256,136.81067287338345
P-256,135.72070969740906
P-256,138.32024736873973
P-256,138.95308402835488
P-256,135.0425325137447
P-256,136.8458111742715
P-256,134.40133163383192
P-256,136.61387415059778
P-256,135.135234231664
P-256,138.6859047282746
P-256,138.44803496550242
P-256,131.64304245107243
P-256,136.7953790418118
P-256,138.51549749624078
P-256,132.4903351678556
P-256,135.24285100950448
P-256,137.3824345247907
P-256,137.519878186147
P-256,136.08163207114038
P-256,137.72105517057565
P-256,136.05626509624275
P-256,137.45932402461628
P-256,129.82453538788815
P-256,138.4035778668776
P-256,138.38520964872896
P-256,136.88404471710558
P-256,135.6689187329086
P-256,135.4278297203377
P-256,135.81239611020064
P-256,138.5170963968844
P-256,134.80868630098024
P-256,134.9836976896528
P-256,135.36248844209229
P-256,133.50349213936386
P-256,133.9528089765201
P-256,137.4330138118854
P-256,139.2535106051497
P-256,133.46215590079936
P-256,137.8428064081333
P-256,137.8114388434218
P-256,134.17910383458917
P-256,140.46213963566817
P-256,137.73236518781533
P-256,139.4382996655688
P-256,130.39283619676482
P-256,138.85428946405955
P-256,137.78777459134662
P-256,138.10944923088732
P-256,136.43697866906706
P-256,136.8928076387852
P-256,130.067297145478
P-256,137.4457786967376
P-256,136.38676122099164
P-256,136.79812375382414
P-256,135.72324052554723
P-256,133.23802279093388
P-256,137.6789368770317
P-256,138.32131846989193
P-256,136.26719273002544
P-256,129.9908321464067
P-256,136.88707246960539
P-256,139.06890324079765
P-256,137.545304406493
P-256,130.69687723703092
P-256,136.075864899198
P-256,137.13867222699864
P-256,136.56325700642145
P-256,136.1919378452667
P-256,138.86660299312203
P-256,139.05064945311884
P-256,133.14444658394657
P-256,136.12316849058055
P-256,134.79077710598324
P-256,139.52756368806902
P-256,138.2953406551229
P-256,135.7362394178513
P-256,137.08461499139153
P-256,138.02415467911365
P-256,139.3731310461899
P-256,137.49289322089894
P-256,134.16400030717307
P-256,134.91171065027166
P-256,137.95056827963657
P-256,136.34582076710512
P-256,136.65028084375703
P-256,138.50015210867824
P-256,134.9290080326696
P-256,138.32011984903767
P-256,137.80571401766255
P-256,134.46937649321535
P-256,137.05331715016368
P-256,137.69752327732886
P-256,135.0456125584068
P-256,137.39722240123947
P-256,137.81801537991345
P-256,136.90536080485387
P-256,135.84838093632098
P-256,135.98847133395483
P-256,131.54117733317094
P-256,135.40071298762882
P-256,135.7703769474129
P-256,135.1759452958732
P-256,134.69670939294332
P-256,132.1256564560792
P-256,132.50813050366077
P-256,135.01440204986508
P-256,136.14466500211483
P-256,136.86701216659472
P-256,134.32057941065892
P-256,136.94802831369816
P-256,129.5121432702698
P-256,135.77696785936408
P-256,139.17736276881888
P-256,129.03204981957202
P-256,137.728811898469
P-256,137.4856872111605
P-256,137.4969594231876
P-256,134.6115976341607
P-256,124.31135147204525
P-256,138.15828199693735
P-256,137.8737495143222
P-256,134.7056033800203
P-256,135.9619920599649
P-256,139.58338234267717
P-256,134.06815669120024
P-256,139.39059857012478
P-256,135.90382286257088
P-256,137.33914044052983
P-256,136.43529738245843
P-256,135.31561677787678
P-256,135.21487962693752
P-256,135.51146167503623
P-256,137.50773808625834
P-256,134.3629571323999
P-256,138.08750683404023
P-256,137.4586293913529
P-256,134.53230508237644
P-256,138.20961619333156
P-256,138.27021479493644
P-256,135.2950736651298
P-256,137.0337760292981
P-256,134.8389765502385
P-256,136.52502804539182
P-256,138.18794058519305
P-256,135.8355561198221
P-256,135.6726980976186
P-256,136.79540356122735
P-256,139.58948232069537
P-256,138.0036401764305
P-256,138.3309852613713
P-256,139.11708008373375
P-256,138.85401636908603
P-256,137.8870194365479
P-256,133.16236392913666
P-256,133.51254460038712
P-256,139.80539917091846
P-256,135.65847258618163
P-256,133.780453217452
P-256,135.54282945219643
P-256,137.52195832934774
P-256,136.96168099241805
P-256,135.8502962927684
P-256,138.21509064233436
P-256,134.01741781864945
P-256,138.6947704965817
P-256,132.63513954709745
P-256,130.1458505306813
P-256,133.08186415761813
P-256,136.61916983511432
P-256,133.53674441070027
P-256,137.22995825573557
P-256,133.96830673742167
P-256,139.3575527832218
P-256,133.65238841697496
P-256,138.35324873871045
P-256,134.92904214150158
P-256,139.2087534552977
P-256,134.12053276792201
P-256,138.8312614189211
P-256,129.88546449738968
P-256,139.13025255333528
P-256,135.7599071228373
P-256,129.80516798316594
P-256,139.25449841493352
P-256,135.35934533586902
P-256,137.02978674632723
P-256,137.95254007258137
P-256,136.38487844664897
P-256,137.29818600809133
P-256,134.88211121747477
P-256,135.9327963529114
P-256,131.25549404458928
P-256,134.70149544366546
P-256,134.5796441153541
P-256,137.78701112101353
P-256,135.54299813327196
P-256,136.75818482702772
P-256,135.21974986688653
P-256,136.8875507240214
P-256,137.219905027419
P-256,137.75229102790004
P-256,135.77020541309847
P-256,135.28083245890178
P-256,138.27769944177405
P-256,135.75708717119895
P-256,131.69873948424936
P-256,135.36141704514912
P-256,135.82880049834452
P-256,133.06288738720613
P-256,135.6786903490883
P-256,135.24973589111383
P-256,138.8329246759226
P-256,134.91831366718566
P-256,132.12670550166735
P-256,136.71218604351506
P-256,136.43737803767024
P-256,131.1408653203832
P-256,137.0601510339688
P-256,135.59932428517743
P-256,139.8139844050797
P-256,137.0739171457601
P-256,132.60977147732098
P-256,136.65083739731045
P-256,138.553631315082
P-256,135.3525885688082
P-256,139.18628707208794
P-256,133.0321640241216
P-256,139.4304915503263
P-256,137.07039462695275
P-256,136.57921685867743
P-256,134.3290817349729
P-256,137.2591862592476
P-256,139.38117686976682
P-256,137.51303599984544
P-256,138.89591014516253
P-256,129.39717080599158
P-256,136.13809727207365
P-256,139.7561736222282
P-256,135.95049360267356
P-256,137.61151633688465
P-256,136.12213798814585
P-256,134.13120818771208
P-256,139.37293608491004
P-256,136.0577584159653
P-256,135.96196556882282
P-256,128.54065592756513
P-256,137.8204989516897
P-256,136.06561193688046
P-256,137.99058049650682
P-256,137.75271004177674
P-256,133.45443554012166
P-256,136.19002380835423
P-256,135.6439169903761
P-256,137.46256954940762
P-256,137.36274061630826
P-256,136.1561767361036
P-256,138.29861882874928
P-256,136.0285171366181
P-256,138.65886124003882
P-256,140.3634236276482
P-256,136.5083675337881
P-256,137.74537251594984
P-256,138.5108179430206
P-256,136.2094776851251
P-256,137.0320223537629
P-256,132.85435441920822
P-256,136.07281371952075
P-256,138.70604964347365
P-256,132.97650624605222
