variant,verify
P-256,136.7638464391611
P-256,137.38448774882295
P-256,136.55153542943324
P-256,138.9418087049909
P-256,138.6735788737407
P-256,136.9152199450532
P-256,136.5323574189266
P-256,137.81412679254902
P-256,138.13433024432652
P-256,133.06115827288173
P-256,137.00359130867105
P-256,138.0430347298528
P-256,135.92096476989556
P-256,136.09762011491577
P-256,131.12191882706642
P-256,134.18234446884784
P-256,140.60409428856218
P-256,139.8312353502293
P-256,141.0428393150203
P-256,136.67387052972708
P-256,138.59554394596591
P-256,138.05076640953473
P-256,135.6435219006796
P-256,133.26910177323978
P-256,136.58716729264432
P-256,140.96736560821068
P-256,137.12643813405467
P-256,134.7705197355074
P-256,139.0435793305181
P-256,130.147089003308
P-256,139.61341282163224
P-256,135.13692262017298
P-256,139.0259579379941
P-256,136.75412099808185
P-256,140.93871091495086
P-256,134.28361544017116
P-256,139.79702096927846
P-256,138.84982483987153
P-256,133.1082058920872
P-256,138.15430087350413
P-256,136.31878224548504
P-256,133.90268080977836
P-256,139.9262219141512
P-256,132.86956143266542
P-256,133.54196764421462
P-256,136.56974647261316
P-256,137.65452059139204
P-256,140.12495382931078
P-256,140.20655824683695
P-256,138.96017029746963
P-256,138.0807887176461
P-256,134.16273248670848
P-256,136.09088810211261
P-256,133.692646642172
P-256,139.65894158598988
P-256,140.82775880096722
P-256,136.39245133018284
P-256,139.72546268370397
P-256,138.52416621062756
P-256,135.96079389355967
P-256,133.8899163729139
P-256,136.64607821600853
P-256,138.00238168930156
P-256,137.67475161693477
P-256,138.06134036051884
P-256,136.2991951420738
P-256,127.90571426581909
P-256,140.27539531057786
P-256,137.6243805186687
P-256,139.42984864434447
P-256,139.54037845962483
P-256,136.6044817909353
P-256,135.37535627920934
P-256,136.4805106842499
P-256,134.74517415637922
P-256,140.28894662506127
P-256,136.78266073819998
P-256,138.44890505646458
P-256,140.9316031619484
P-256,136.14684137433957
P-256,137.62198975990293
P-256,138.84075944008666
P-256,139.16175419934137
P-256,134.42069510498513
P-256,139.27193489963577
P-256,134.78550177865355
P-256,137.83583496057523
P-256,136.24535534584825
P-256,134.63044057484584
P-256,127.4709773767165
P-256,139.3649545314803
P-256,136.70407511029288
P-256,139.12968299564739
P-256,139.77014395663153
P-256,137.8573598266742
P-256,138.31304301628816
P-256,137.26435437383452
P-256,137.52035466085357
P-256,133.86567608319803
P-256,140.4394413494537
P-256,136.2416214779362
P-256,137.9633447717251
P-256,138.64688552786612
P-256,138.6199368985042
P-256,136.83624360955847
P-256,140.00212011863402
P-256,140.699036080173
P-256,138.79099401976998
P-256,140.50090006537428
P-256,138.16077031201445
P-256,139.26910314386762
P-256,136.60933478862225
P-256,138.60964353563287
P-256,137.58150658196655
P-256,136.24361701435942
P-256,135.0718196693005
P-256,140.6207956795047
P-256,138.67293678463184
P-256,138.522124982697
P-256,139.6375557828267
P-256,135.04078838335695
P-256,137.84183835770742
P-256,136.64325376898373
P-256,138.55710477745203
P-256,136.96851163081422
P-256,139.67598621635045
P-256,141.86659598117234
P-256,138.931827264703
P-256,137.492460917774
P-256,140.8661613492836
P-256,138.3643359100626
P-256,136.46289870332348
P-256,139.49566367877213
P-256,136.99845277717415
P-256,130.21435783560952
P-256,138.26568867331605
P-256,140.6352966503438
P-256,138.7737732701176
P-256,135.60234333257077
P-256,140.06357502976246
P-256,138.74333511296567
P-256,138.99457404898092
P-256,138.75276490153308
P-256,127.81228235053767
P-256,126.72067438315946
P-256,139.337698538531
P-256,136.59296508520652
P-256,137.32094401847453
P-256,138.8092884255198
P-256,138.17997267316025
P-256,138.65401875197486
P-256,136.4899551420171
P-256,136.27084245823374
P-256,138.21441824767334
P-256,130.6058025572169
P-256,138.25932299530382
P-256,139.15554039791016
P-256,137.00807300870932
P-256,139.80639688409235
P-256,137.8970607388523
P-256,136.91789014462307
P-256,138.19409315473655
P-256,137.70123466195673
P-256,137.76139093170977
P-256,135.67026450705524
P-256,140.4868387390077
P-256,130.98116349052736
P-256,138.16429302472784
P-256,138.18635117424412
P-256,137.8040912342274
P-256,136.9625747483083
P-256,136.65943157065666
P-256,136.41501051270478
P-256,131.5351985280652
P-256,140.78031128222077
P-256,137.86594561030918
P-256,138.5930949632262
P-256,138.50476661428849
P-256,140.14215365087642
P-256,135.43268666690275
P-256,139.32882001989952
P-256,137.59791337452486
P-256,137.82071339014396
P-256,135.98365377431782
P-256,139.23864262416592
P-256,137.98094069833033
P-256,135.78648404659182
P-256,135.04676021056292
P-256,137.33777405975627
P-256,139.02779410565577
P-256,137.91243375511036
P-256,139.70045261853298
P-256,139.0243410267525
P-256,136.1059114986388
P-256,134.41569497033927
P-256,139.96955017450423
P-256,137.35416879352016
P-256,134.04237257862727
P-256,137.6735679628978
P-256,132.33418122164906
P-256,134.34684276828162
P-256,138.2513358988364
P-256,137.22068151884517
P-256,141.83269979122596
P-256,138.64926208146943
P-256,135.01910687743285
P-256,130.97590360970725
P-256,139.29545861922196
P-256,139.28806606963624
P-256,138.2658612193562
P-256,138.52679330120506
P-256,136.28337380848322
P-256,140.03865804038884
P-256,136.50956068049842
P-256,133.66492671224924
P-256,137.2273272522754
P-256,135.67982111516142
P-256,135.54101593510853
P-256,136.04551414923256
P-256,137.80539175480658
P-256,139.6863147852663
P-256,138.14317407076044
P-256,138.38660328028953
P-256,136.122144816059
P-256,139.65278543530138
P-256,139.69081578980274
P-256,139.77791182677888
P-256,139.07032464055854
P-256,140.72068714422346
P-256,138.72231041451371
P-256,139.72406041390482
P-256,136.83718487382063
P-256,138.53160557583124
P-256,132.63065449535955
P-256,136.5454129502734
P-256,136.55906096586824
P-256,138.04307871125232
P-256,139.7776064447849
P-256,135.24178207104498
P-256,139.89762843553044
P-256,137.8557080580391
P-256,136.90027785821
P-256,137.8815753674605
P-256,138.7274462649821
P-256,142.43480552795828
P-256,138.99202136788668
